品名,メーカ,品番規格１,品番規格２,数量,単位,単価,小計,備考
Bluetoothモジュール(回路),aitendo,EGBT-045MS,,1,個,750,750,class2
FFC変換基板,aitendo,IFB-FFC(0.5)36P,,1,個,750,750,FFC(0.5)36P-2.54mm
FFCケーブル,aitendo,FFC(0.5)36P100S,,1,本,480,480,FFC(0.5)36P
Bluetoothモジュール(USB),Amazon(サンワサプライ),MM-BTUD43,,1,個,"1,609","1,609",class1
dsPIC30F3012,秋月電子通商,I-01945,,1,個,420,420,DIP18P
dsPIC30F2012,秋月電子通商,I-01944,DSPIC30F2012-30I/SP,1,個,350,350,DIP28P
SRAM,秋月電子通商,I-01461,M68AF127B,1,パック,500,500,"1MBit(131kByte), 5個入り"
カラーグラフィックＴＦＴ液晶モジュール（ＬＣＤ）,秋月電子通商,P-01703,,1,個,300,300,
電圧コンバータ,秋月電子通商,I-01632,LT1054,1,個,350,350,負電源用
電圧コンバータ,秋月電子通商,I-02878,NJM2360AD,1,パック,150,150,"正電源用, 2個入り"
電解コンデンサ,秋月電子通商,P-06865,400YXA10MEFC10X12.5,3,個,40,120,"10uF, 400V"
ショットキーダイオード,秋月電子通商,I-06168,SBM1045VSS,1,本,40,40,"45V, 10A"
マイクロインダクタ,秋月電子通商,P-04926,AL0510-221K,1,パック,100,100,"220uH, 10本入り"
抵抗,秋月電子通商,R-25331,CF25J330RB,1,パック,100,100,"330Ω, 100本入り"
抵抗,秋月電子通商,R-03940,CF25J20KB,1,パック,100,100,"20kΩ, 100本入り"
抵抗,秋月電子通商,R-25202,CF25J2KB,1,パック,100,100,"2kΩ, 100本入り"
ピンヘッダ,秋月電子通商,C-00167,,5,本,40,200,1*40P
マイクロチップ　ＰＩＣｋｉｔ３,秋月電子通商,M-03608,PG164130,1,個,"4,500","4,500",
変換基板,秋月電子通商,P-02411,AE-SOP-56,1,枚,200,200,SOP56P変換基板(かなり余る)
バッファIC,秋月電子通商,I-03632,TC74HC541AP,3,個,60,180,
,,,,,,,,
,,,,,,,,
合計,,,,,,,"11,299",
